FECHA,HORA,LATITUD,LONGITUD,PM 1.0 [ug/m^3],PM 2.5 [ug/m^3],PM 10 [ug/m^3],TEMPERATURA [°C],HUMEDAD [%],FORMALDEHIDO [mg/m^3],SATELITES,ALTURA,HDP,TIEMPO SATELITAL,IPM 1.0 [%],IPM 2.5 [%],IPM 10 [%],ITEMP [°C],IHUM [%],IFORM [%],PM 2.5 ICCA,PM 2.5 CALIDAD DE AIRE,PM 10 ICCA,PM 10 CALIDAD DE AIRE,TDM [s],FECHA_HORA
2025/02/13,15:22:19,NO DATA,NO DATA,11,16,16,22.9,77.2,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,51.9919,SATISFACTORIA,14.81481,BUENA,30,2025-02-13 15:22:19
2025/02/13,15:23:21,NO DATA,NO DATA,8,13,15,23.6,74.2,0.2,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,42.48366,BUENA,13.88889,BUENA,30,2025-02-13 15:23:21
2025/02/13,15:26:40,NO DATA,NO DATA,9,14,15,23.7,73.5,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,45.75163,BUENA,13.88889,BUENA,30,2025-02-13 15:26:40
2025/02/13,15:27:26,NO DATA,NO DATA,8,11,11,24.5,68.8,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,35.94771,BUENA,10.18519,BUENA,30,2025-02-13 15:27:26
2025/02/13,15:28:12,NO DATA,NO DATA,19712,9216,2304,0.0,0.0,102.4,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,7465.799,PELIGROSO,2379.444,PELIGROSO,30,2025-02-13 15:28:12
2025/02/13,15:28:57,NO DATA,NO DATA,8,11,12,24.8,67.9,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,35.94771,BUENA,11.11111,BUENA,30,2025-02-13 15:28:57
2025/02/13,15:29:43,NO DATA,NO DATA,8,11,11,24.9,68.5,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,35.94771,BUENA,10.18519,BUENA,30,2025-02-13 15:29:43
2025/02/13,15:30:28,NO DATA,NO DATA,8,10,10,25.0,67.4,0.1,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,32.67974,BUENA,9.259259,BUENA,30,2025-02-13 15:30:28
2025/02/13,15:31:13,NO DATA,NO DATA,11,14,14,25.1,67.2,0.1,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,45.75163,BUENA,12.96296,BUENA,30,2025-02-13 15:31:13
2025/02/13,15:31:59,NO DATA,NO DATA,15,18,18,25.2,66.7,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,55.95951,SATISFACTORIA,16.66667,BUENA,30,2025-02-13 15:31:59
2025/02/13,15:32:44,NO DATA,NO DATA,15,18,20,25.3,67.6,0.1,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,55.95951,SATISFACTORIA,18.51852,BUENA,30,2025-02-13 15:32:44
2025/02/13,15:33:29,NO DATA,NO DATA,15,18,18,25.4,68.3,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,55.95951,SATISFACTORIA,16.66667,BUENA,30,2025-02-13 15:33:29
2025/02/16,10:01:58,NO DATA,NO DATA,18,25,25,24.2,70.0,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,69.84615,SATISFACTORIA,23.14815,BUENA,30,2025-02-16 10:01:58
2025/02/16,10:04:36,NO DATA,NO DATA,17,22,23,24.9,66.7,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,63.89474,SATISFACTORIA,21.2963,BUENA,30,2025-02-16 10:04:36
2025/02/16,10:05:33,NO DATA,NO DATA,16,21,23,24.9,66.6,0.1,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,61.91093,SATISFACTORIA,21.2963,BUENA,30,2025-02-16 10:05:33
2025/02/21,23:11:55,NO DATA,NO DATA,4,5,5,23.1,77.0,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,16.33987,BUENA,4.62963,BUENA,30,2025-02-21 23:11:55
2025/02/21,23:12:46,NO DATA,NO DATA,4,5,6,23.7,74.2,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,16.33987,BUENA,5.555555,BUENA,30,2025-02-21 23:12:46
2025/02/21,23:14:08,NO DATA,NO DATA,3,5,6,23.7,76.9,0.1,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,16.33987,BUENA,5.555555,BUENA,30,2025-02-21 23:14:08
2025/02/21,23:14:29,NO DATA,NO DATA,2,3,3,24.2,75.3,0.0,NO DATA,NO DATA,NO DATA,NO DATA,±10%,±10%,±10%,±0.5°C,±2%,±5%,9.803922,BUENA,2.777778,BUENA,30,2025-02-21 23:14:29
